Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot
Bachelors,"[2010,2015)",Any,Any,Any,Male,No,"[0,5)",1
Bachelors,"[2015,2020)",New Delhi,Any,Any,Female,No,"[0,5)",0
Masters,Any,Any,Any,Any,Female,No,"[0,5)",1
Bachelors,"[2010,2015)",Any,Any,Any,Male,No,"[0,5)",1
Masters,Any,Any,Any,Any,Female,No,"[0,5)",1
Bachelors,"[2010,2015)",Any,Any,Any,Male,No,"[5,10)",0
Masters,Any,Any,Any,Any,Male,No,"[0,5)",0
Bachelors,"[2015,2020)",Any,Any,Any,Male,No,"[5,10)",0
Bachelors,"[2010,2015)",Any,Any,Any,Male,No,"[0,5)",1
Bachelors,"[2010,2015)",Bangalore,Any,Any,Female,No,"[0,5)",0
Bachelors,Any,Any,Any,Any,Male,Yes,"[0,5)",1
Bachelors,"[2015,2020)",New Delhi,Any,Any,Female,No,"[0,5)",0
Bachelors,"[2015,2020)",Bangalore,Any,Any,Male,No,"[0,5)",0
Bachelors,"[2015,2020)",Any,Any,Any,Male,No,"[5,10)",0
Bachelors,"[2010,2015)",Any,Any,Any,Male,No,"[0,5)",1
Bachelors,Any,Any,Any,Any,Female,No,"[5,10)",1
Bachelors,"[2010,2015)",Any,Any,Any,Male,No,"[0,5)",1
Bachelors,"[2010,2015)",Any,Any,Any,Male,No,"[0,5)",1
Masters,Any,Any,Any,Any,Female,No,"[0,5)",1
Masters,Any,Any,Any,Any,Female,No,"[0,5)",1
Bachelors,"[2010,2015)",Any,Any,Any,Male,No,"[0,5)",1
Masters,Any,Any,Any,Any,Male,No,"[0,5)",0
Bachelors,"[2015,2020)",Pune,Any,Any,Male,No,"[0,5)",1
Masters,Any,Any,Any,Any,Male,No,"[0,5)",0
Bachelors,Any,Any,Any,Any,Any,Yes,"[5,10)",1
Bachelors,"[2010,2015)",Any,Any,Any,Male,No,"[0,5)",1
Masters,Any,Any,Any,Any,Female,No,"[0,5)",1
Bachelors,"[2010,2015)",Any,Any,Any,Male,No,"[0,5)",1
Masters,Any,Any,Any,Any,Female,No,"[0,5)",1
Masters,Any,Any,Any,Any,Any,Yes,Any,1
Masters,Any,Any,Any,Any,Male,No,"[0,5)",0
Bachelors,"[2015,2020)",Bangalore,Any,Any,Male,No,"[0,5)",0
Bachelors,"[2015,2020)",Pune,Any,Any,Female,No,"[0,5)",1
Masters,Any,Any,Any,Any,Any,No,"[5,10)",0
Bachelors,"[2015,2020)",Any,Any,Any,Male,No,"[5,10)",0
Bachelors,"[2010,2015)",Any,Any,Any,Male,No,"[0,5)",1
Bachelors,"[2010,2015)",Bangalore,Any,Any,Female,No,"[0,5)",0
Bachelors,"[2010,2015)",Pune,Any,Any,Female,No,"[0,5)",1
Bachelors,"[2015,2020)",Pune,Any,Any,Male,No,"[0,5)",1
Bachelors,Any,Any,Any,Any,Male,Yes,"[0,5)",1
Bachelors,Any,Any,Any,Any,Female,No,"[5,10)",1
Masters,Any,Any,Any,Any,Female,No,"[0,5)",1
Bachelors,"[2015,2020)",Bangalore,Any,Any,Male,No,"[0,5)",0
Bachelors,"[2015,2020)",Bangalore,Any,Any,Male,No,"[0,5)",0
Masters,Any,Any,Any,Any,Female,No,"[0,5)",1
Bachelors,Any,Any,Any,Any,Any,Yes,"[5,10)",1
Bachelors,Any,Any,Any,Any,Male,Yes,"[0,5)",1
Masters,Any,Any,Any,Any,Any,Yes,Any,1
Bachelors,"[2010,2015)",Bangalore,Any,Any,Female,No,"[0,5)",0
Masters,Any,Any,Any,Any,Any,Yes,Any,1
Bachelors,"[2015,2020)",Pune,Any,Any,Female,No,"[0,5)",1
Bachelors,"[2015,2020)",Bangalore,Any,Any,Male,No,"[0,5)",0
Bachelors,Any,Any,Any,Any,Male,Yes,"[0,5)",1
PHD,Any,Any,Any,Any,Any,Any,Any,1
Masters,Any,Any,Any,Any,Male,No,"[0,5)",0
Bachelors,"[2010,2015)",Bangalore,Any,Any,Female,No,"[0,5)",0
Masters,Any,Any,Any,Any,Male,No,"[0,5)",0
Bachelors,"[2015,2020)",Bangalore,Any,Any,Female,No,"[0,5)",1
Bachelors,"[2010,2015)",Any,Any,Any,Male,No,"[0,5)",1
Bachelors,Any,Any,Any,Any,Female,No,"[5,10)",1
PHD,Any,Any,Any,Any,Any,Any,Any,1
Bachelors,"[2010,2015)",Any,Any,Any,Male,No,"[0,5)",1
Bachelors,"[2010,2015)",Any,Any,Any,Male,No,"[5,10)",0
Bachelors,"[2015,2020)",Bangalore,Any,Any,Male,No,"[0,5)",0
Bachelors,"[2015,2020)",Bangalore,Any,Any,Female,No,"[0,5)",1
Bachelors,"[2015,2020)",New Delhi,Any,Any,Female,No,"[0,5)",0
Bachelors,"[2015,2020)",Pune,Any,Any,Male,No,"[0,5)",1
Bachelors,"[2015,2020)",Any,Any,Any,Male,No,"[5,10)",0
Bachelors,Any,Any,Any,Any,Male,Yes,"[0,5)",1
Bachelors,"[2015,2020)",Pune,Any,Any,Female,No,"[0,5)",1
Masters,Any,Any,Any,Any,Female,No,"[0,5)",1
Bachelors,"[2010,2015)",Bangalore,Any,Any,Female,No,"[0,5)",0
Bachelors,Any,Any,Any,Any,Male,Yes,"[0,5)",1
Bachelors,"[2015,2020)",Bangalore,Any,Any,Male,No,"[0,5)",0
Bachelors,"[2015,2020)",Bangalore,Any,Any,Male,No,"[0,5)",0
Bachelors,"[2015,2020)",Pune,Any,Any,Female,No,"[0,5)",1
Bachelors,Any,Any,Any,Any,Female,No,"[5,10)",1
Bachelors,"[2015,2020)",Bangalore,Any,Any,Male,No,"[0,5)",0
Masters,Any,Any,Any,Any,Female,No,"[0,5)",1
Bachelors,"[2015,2020)",Pune,Any,Any,Male,No,"[0,5)",1
Bachelors,"[2010,2015)",Bangalore,Any,Any,Female,No,"[0,5)",0
Bachelors,"[2010,2015)",New Delhi,Any,Any,Female,No,"[0,5)",0
Masters,Any,Any,Any,Any,Any,Yes,Any,1
Bachelors,Any,Any,Any,Any,Female,No,"[5,10)",1
Bachelors,"[2010,2015)",Any,Any,Any,Male,No,"[0,5)",1
Bachelors,"[2010,2015)",New Delhi,Any,Any,Female,No,"[0,5)",0
Masters,Any,Any,Any,Any,Male,No,"[0,5)",0
Bachelors,"[2015,2020)",Pune,Any,Any,Female,No,"[0,5)",1
Bachelors,"[2010,2015)",New Delhi,Any,Any,Female,No,"[0,5)",0
Bachelors,"[2010,2015)",Bangalore,Any,Any,Female,No,"[0,5)",0
Bachelors,Any,Any,Any,Any,Female,Yes,"[0,5)",1
Bachelors,"[2015,2020)",Bangalore,Any,Any,Male,No,"[0,5)",0
Bachelors,Any,Any,Any,Any,Female,No,"[5,10)",1
Bachelors,"[2015,2020)",Any,Any,Any,Male,No,"[5,10)",0
Bachelors,"[2010,2015)",Any,Any,Any,Male,No,"[5,10)",0
Bachelors,"[2010,2015)",Pune,Any,Any,Female,No,"[0,5)",1
Bachelors,"[2015,2020)",Bangalore,Any,Any,Female,No,"[0,5)",1
Bachelors,"[2010,2015)",New Delhi,Any,Any,Female,No,"[0,5)",0
Masters,Any,Any,Any,Any,Male,No,"[0,5)",0
Masters,Any,Any,Any,Any,Male,No,"[0,5)",0
Bachelors,"[2015,2020)",Bangalore,Any,Any,Male,No,"[0,5)",0
Bachelors,"[2015,2020)",Pune,Any,Any,Male,No,"[0,5)",1
Bachelors,"[2015,2020)",Any,Any,Any,Male,No,"[5,10)",0
Bachelors,Any,Any,Any,Any,Male,Yes,"[0,5)",1
Bachelors,"[2010,2015)",Any,Any,Any,Male,No,"[5,10)",0
Bachelors,"[2010,2015)",Any,Any,Any,Male,No,"[0,5)",1
Bachelors,"[2010,2015)",Bangalore,Any,Any,Female,No,"[0,5)",0
Bachelors,"[2015,2020)",Bangalore,Any,Any,Female,No,"[0,5)",1
Bachelors,"[2015,2020)",New Delhi,Any,Any,Male,No,"[0,5)",0
Masters,Any,Any,Any,Any,Male,No,"[0,5)",0
Bachelors,Any,Any,Any,Any,Female,No,"[5,10)",1
Masters,Any,Any,Any,Any,Male,No,"[0,5)",0
Masters,Any,Any,Any,Any,Any,No,"[5,10)",0
Bachelors,"[2015,2020)",Bangalore,Any,Any,Female,No,"[0,5)",1
Bachelors,Any,Any,Any,Any,Female,Yes,"[0,5)",1
Bachelors,"[2010,2015)",Any,Any,Any,Male,No,"[0,5)",1
PHD,Any,Any,Any,Any,Any,Any,Any,1
Bachelors,"[2010,2015)",Any,Any,Any,Male,No,"[0,5)",1
Bachelors,"[2015,2020)",Bangalore,Any,Any,Female,No,"[0,5)",1
Masters,Any,Any,Any,Any,Any,Yes,Any,1
Bachelors,"[2010,2015)",Any,Any,Any,Male,No,"[5,10)",0
Bachelors,"[2015,2020)",New Delhi,Any,Any,Female,No,"[0,5)",0
